TF1,TF2,r,|r|,p
BATF,BCL6,0.3982319951061928,0.3982319951061928,0.0010184302930606435
BATF,CEBPA,0.3755566706601283,0.3755566706601283,0.002050770817445683
BATF,CEBPB,0.46050264611256986,0.46050264611256986,0.00011342982413297775
BATF,E2F1,0.009361685761840004,0.009361685761840004,0.9409996972147494
BATF,ETS1,0.13369381088470092,0.13369381088470092,0.28835601190695365
BATF,FOS,0.2667594987642647,0.2667594987642647,0.03171029815218926
BATF,FOXP3,0.5623234976344682,0.5623234976344682,1.089519834659433e-06
BATF,GATA1,0.3152624431702264,0.3152624431702264,0.01052751694675389
BATF,GATA3,0.346270972753876,0.346270972753876,0.004720106872450664
BATF,HIF1A,0.5785547636165187,0.5785547636165187,4.4700304403150676e-07
BATF,IRF1,0.18233539684352507,0.18233539684352507,0.14602139276623663
BATF,IRF4,0.67690521500943,0.67690521500943,6.002747411815302e-10
BATF,IRF8,-0.02608695048111111,0.02608695048111111,0.8365769659322515
BATF,JUN,0.3896511945929088,0.3896511945929088,0.0013350309244634343
BATF,LEF1,0.2033133665557891,0.2033133665557891,0.10429579193988393
BATF,MYC,0.4617107186999853,0.4617107186999853,0.00010823411633287048
BATF,NFE2L2,0.46249867425866903,0.46249867425866903,0.00010496427501484992
BATF,NFKB1,0.6340387492630382,0.6340387492630382,1.4287598622443461e-08
BATF,NR3C1,0.6515895634505071,0.6515895634505071,4.146882125916536e-09
BATF,PAX5,0.016933184769479734,0.016933184769479734,0.8934972031135877
BATF,PRDM1,0.6184904336370209,0.6184904336370209,4.012365225903305e-08
BATF,RELA,0.5599158426218034,0.5599158426218034,1.2384853166266822e-06
BATF,RUNX1,0.24355936899412192,0.24355936899412192,0.050572600157750294
BATF,RUNX3,0.2011750222648351,0.2011750222648351,0.10806963484905019
BATF,SMAD3,0.5350784029773301,0.5350784029773301,4.38901631514668e-06
BATF,SPI1,0.6971654206241218,0.6971654206241218,1.1083761280733654e-10
BATF,STAT1,0.2658057168050298,0.2658057168050298,0.03234878698765855
BATF,STAT4,0.10316450098965882,0.10316450098965882,0.4134795952717024
BATF,TBX21,0.07870993678277703,0.07870993678277703,0.5331301344618116
BATF,TCF7,0.5827146002244954,0.5827146002244954,3.5298065710717934e-07
BATF,TP53,0.5648396134511253,0.5648396134511253,9.519226684606413e-07
BCL6,CEBPA,-0.10659536808794881,0.10659536808794881,0.39803502035726107
BCL6,CEBPB,0.1400627245578672,0.1400627245578672,0.26579120352014846
BCL6,E2F1,0.25587644117256214,0.25587644117256214,0.03965739781511968
BCL6,ETS1,0.7509439477509593,0.7509439477509593,5.83911494172465e-13
BCL6,FOS,0.45789949612699626,0.45789949612699626,0.00012541461638324795
BCL6,FOXP3,0.5347443248009383,0.5347443248009383,4.4613131752585915e-06
BCL6,GATA1,0.09995742091602446,0.09995742091602446,0.4282249595403418
BCL6,GATA3,0.33302112150530655,0.33302112150530655,0.0067151446808747465
BCL6,HIF1A,0.541152560328335,0.541152560328335,3.2510620765865955e-06
BCL6,IRF1,0.47903434402750983,0.47903434402750983,5.417934640126261e-05
BCL6,IRF4,0.8554082249916082,0.8554082249916082,1.1649906700332884e-19
BCL6,IRF8,0.4134584855371711,0.4134584855371711,0.0006186993247985831
BCL6,JUN,0.3222578384074555,0.3222578384074555,0.008845814899247913
BCL6,LEF1,0.5969329949489961,0.5969329949489961,1.5352739097222834e-07
BCL6,MYC,0.6115511274140258,0.6115511274140258,6.248254843403628e-08
BCL6,NFE2L2,0.5235170969802866,0.5235170969802866,7.648513998637427e-06
BCL6,NFKB1,0.6893487671002707,0.6893487671002707,2.1615739051387684e-10
BCL6,NR3C1,0.5605278813978094,0.5605278813978094,1.1989038877944977e-06
BCL6,PAX5,0.41656290626754555,0.41656290626754555,0.0005572954521091735
BCL6,PRDM1,0.1978181043066787,0.1978181043066787,0.11420575474209944
BCL6,RELA,0.5466344016349928,0.5466344016349928,2.4671212815888286e-06
BCL6,RUNX1,0.7686385455097658,0.7686385455097658,7.693216746894984e-14
BCL6,RUNX3,0.6940733690823419,0.6940733690823419,1.4472022462936463e-10
BCL6,SMAD3,0.34483919937622126,0.34483919937622126,0.004906918520094429
BCL6,SPI1,0.17421836937595822,0.17421836937595822,0.1651430999757658
BCL6,STAT1,0.5848105673506508,0.5848105673506508,3.1299171468762825e-07
BCL6,STAT4,0.6778336184883199,0.6778336184883199,5.571819431974759e-10
BCL6,TBX21,0.675619277020546,0.675619277020546,6.652275529275869e-10
BCL6,TCF7,0.49400500420031873,0.49400500420031873,2.8892598004948932e-05
BCL6,TP53,0.5474209997990939,0.5474209997990939,2.3703959054450617e-06
CEBPA,CEBPB,0.37558614669695156,0.37558614669695156,0.002048970634264334
CEBPA,E2F1,-0.08054045765341238,0.08054045765341238,0.5236194840435447
CEBPA,ETS1,-0.3409996499784894,0.3409996499784894,0.005440481444623732
CEBPA,FOS,0.21274992771029044,0.21274992771029044,0.08884860483619925
CEBPA,FOXP3,0.37079678396905713,0.37079678396905713,0.0023607368170145302
CEBPA,GATA1,0.13573831254325325,0.13573831254325325,0.28097912426738625
CEBPA,GATA3,-0.05438540645311518,0.05438540645311518,0.666991875677311
CEBPA,HIF1A,0.2518463235083616,0.2518463235083616,0.04299065888654512
CEBPA,IRF1,-0.08706578669062702,0.08706578669062702,0.49042181340692625
CEBPA,IRF4,0.12590818054158537,0.12590818054158537,0.31760479950948883
CEBPA,IRF8,0.02098944101996606,0.02098944101996606,0.8681907420467023
CEBPA,JUN,0.46694361856155514,0.46694361856155514,8.816091513271956e-05
CEBPA,LEF1,-0.06239331970916063,0.06239331970916063,0.6214812536184411
CEBPA,MYC,0.11430524361067335,0.11430524361067335,0.36459001184635237
CEBPA,NFE2L2,0.09888184521891542,0.09888184521891542,0.4332362473124132
CEBPA,NFKB1,0.12535074654894499,0.12535074654894499,0.31976928632767715
CEBPA,NR3C1,0.37606780685299596,0.37606780685299596,0.002019754066226489
CEBPA,PAX5,-0.09937489819422325,0.09937489819422325,0.4309349327016297
CEBPA,PRDM1,0.5981260806209501,0.5981260806209501,1.4290517806334306e-07
CEBPA,RELA,0.2978042657938864,0.2978042657938864,0.015981804038065366
CEBPA,RUNX1,-0.22914176733439212,0.22914176733439212,0.06634771449392975
CEBPA,RUNX3,-0.3059658608968471,0.3059658608968471,0.013187352253636521
CEBPA,SMAD3,0.5076494471363094,0.5076494471363094,1.5869713001556498e-05
CEBPA,SPI1,0.6020421959518866,0.6020421959518866,1.1270613754303484e-07
CEBPA,STAT1,0.01860311019099037,0.01860311019099037,0.8830644588481212
CEBPA,STAT4,-0.17375666645724494,0.17375666645724494,0.16628355345025247
CEBPA,TBX21,-0.36468344967078614,0.36468344967078614,0.0028199173121163062
CEBPA,TCF7,0.37455879703889133,0.37455879703889133,0.002112555238018409
CEBPA,TP53,0.35142382491269925,0.35142382491269925,0.004098716067259319
CEBPB,E2F1,0.00013575190499837855,0.00013575190499837855,0.999143686345643
CEBPB,ETS1,-0.21847580500425,0.21847580500425,0.08039122913237597
CEBPB,FOS,0.38590324237864587,0.38590324237864587,0.001499220347761503
CEBPB,FOXP3,0.4309745739117256,0.4309745739117256,0.0003385050863248698
CEBPB,GATA1,0.11393612701925641,0.11393612701925641,0.3661510298405868
CEBPB,GATA3,0.012285595755694486,0.012285595755694486,0.9226220558897806
CEBPB,HIF1A,0.43376307764632865,0.43376307764632865,0.0003065835039207131
CEBPB,IRF1,0.17455694614449738,0.17455694614449738,0.164310439857825
CEBPB,IRF4,0.38169243760280197,0.38169243760280197,0.0017051585626930857
CEBPB,IRF8,0.0004135081516165769,0.0004135081516165769,0.9973916231436145
CEBPB,JUN,0.497535806389745,0.497535806389745,2.4803405287737686e-05
CEBPB,LEF1,-0.005658745379208659,0.005658745379208659,0.9643166349668194
CEBPB,MYC,0.3287163977974288,0.3287163977974288,0.007506178944274543
CEBPB,NFE2L2,0.37687802912157925,0.37687802912157925,0.001971448203876948
CEBPB,NFKB1,0.3601835040221152,0.3601835040221152,0.0032071240072560924
CEBPB,NR3C1,0.5595933051075193,0.5595933051075193,1.259834475119154e-06
CEBPB,PAX5,0.012716816586602689,0.012716816586602689,0.9199148810781246
CEBPB,PRDM1,0.6000024333737818,0.6000024333737818,1.275912472384967e-07
CEBPB,RELA,0.587858063319141,0.587858063319141,2.623922608136039e-07
CEBPB,RUNX1,-0.12019603859629491,0.12019603859629491,0.34022936921399577
CEBPB,RUNX3,-0.17099641054610187,0.17099641054610187,0.17322245436321654
CEBPB,SMAD3,0.5043316295148019,0.5043316295148019,1.8402267512335608e-05
CEBPB,SPI1,0.6084286444909422,0.6084286444909422,7.599981909902252e-08
CEBPB,STAT1,0.20139300316874947,0.20139300316874947,0.10768017128956961
CEBPB,STAT4,-0.03227427721002174,0.03227427721002174,0.7985522450706259
CEBPB,TBX21,-0.21090738213981544,0.21090738213981544,0.09171409492475549
CEBPB,TCF7,0.4675953314864738,0.4675953314864738,8.591710909359905e-05
CEBPB,TP53,0.5390697506431613,0.5390697506431613,3.605830402923303e-06
E2F1,ETS1,0.4396103592839658,0.4396103592839658,0.0002483918776959587
E2F1,FOS,0.19492716230836357,0.19492716230836357,0.11970161570639692
E2F1,FOXP3,0.41402382193961895,0.41402382193961895,0.000607079283629412
E2F1,GATA1,-0.018328285358746733,0.018328285358746733,0.8847800962127217
E2F1,GATA3,0.08930244012827385,0.08930244012827385,0.47930261272632685
E2F1,HIF1A,0.4280701220625238,0.4280701220625238,0.0003749548330445403
E2F1,IRF1,0.34933605595123135,0.34933605595123135,0.004341169929323938
E2F1,IRF4,0.18806557784248207,0.18806557784248207,0.13355343800630176
E2F1,IRF8,0.24552825149476767,0.24552825149476767,0.04867889102542697
E2F1,JUN,0.11722328190431368,0.11722328190431368,0.35239276868118324
