,BATF,BCL6,CEBPA,CEBPB,E2F1,ETS1,FOS,FOXP3,GATA1,GATA3,HIF1A,IRF1,IRF4,IRF8,JUN,LEF1,MYC,NFE2L2,NFKB1,NR3C1,PAX5,PRDM1,RELA,RUNX1,RUNX3,SMAD3,SPI1,STAT1,STAT4,TBX21,TCF7,TP53,disease
C2P01,0.06409185369908563,0.2463497506234414,0.0972724438902743,0.013218204488778057,0.01646664588528678,0.5620807356608479,0.1814495012468828,0.10839048212801332,0.036840399002493765,0.00121571072319202,0.19787094763092272,1.4371658354114714,0.21703865336658357,1.8930399002493765,0.2711440149625935,0.05894014962593516,0.12895261845386533,0.21593169853144914,0.16679317331670823,0.4913674147963425,0.11284600997506232,0.0487718204488778,0.07186648762708613,0.39994210901318133,0.343640897755611,0.13702774314214466,0.34902188972014403,1.0112740470252939,0.04027500692712663,0.2691807980049875,0.24190399002493762,0.15250311720698256,normal
C2P01H,0.04694854004047413,0.2183835646140503,0.07633564614050305,0.0062307025151777965,0.018852992194275803,0.7287044666088465,0.19735906331309627,0.0905724197745013,0.2347059843885516,0.0,0.19311307458803123,1.4906565481352994,0.1939245446660885,2.1033954900260188,0.23957285342584558,0.07288956345764672,0.13232328707718993,0.2484793292859208,0.11233548352124892,0.42051604509973983,0.12408355015900548,0.04934627059843885,0.07881779971979451,0.49805352496592736,0.4461205550737207,0.1032307025151778,0.3087978221065819,1.1294901499194647,0.045115640358485115,0.440379011274935,0.24245359930615784,0.14511166522116217,normal
C2P02,0.1217816091954023,0.33412561576354677,0.1028598795840175,0.017617952928297754,0.022824986316365627,0.9838122605363985,0.19320744389709907,0.1270087575259989,0.052470717022441174,0.00047436599160737095,0.2835515873015873,1.479344280240832,0.3382950191570881,1.8065769020251778,0.27373471994161647,0.06435686918445539,0.16386904761904758,0.3034944961381743,0.24391694033935413,0.6894663382594417,0.09303959131545338,0.06019020251778872,0.1468329754536651,0.6513675815153649,0.695000547345375,0.13904761904761903,0.47883962780514505,1.0811220580186098,0.05959009913032901,0.6219813902572524,0.28783689107827043,0.15568760262725778,normal
C2P05,0.10757542310522444,0.24392384105960266,0.23921081677704195,0.04090066225165563,0.029158388520971305,0.5885154525386314,0.37346578366445915,0.18254231052244296,0.07211920529801324,0.001199411331861663,0.3561065121412804,1.7754348785871965,0.2976545253863135,2.396503311258278,0.6205518763796909,0.05816041206769684,0.23349613686534218,0.43541574687270057,0.26220888520971297,0.9649448123620309,0.18100073583517293,0.13852097130242824,0.24681270164713873,0.4936171554714601,0.412560706401766,0.248901766004415,0.8356266862889379,1.29635761589404,0.05665194996320824,0.3503487858719647,0.40799558498896243,0.27200055187637967,normal
C2P05F,0.050360469825840436,0.2537970838396112,0.15569157553665453,0.006512758201701094,0.025341231267719724,0.6030943701903604,0.19279667881733498,0.1265289590927501,0.03327136492507088,0.0008100445524503848,0.2412282300526529,1.5554734710409073,0.2264803564196031,2.3468084244633456,0.24969555825570408,0.055809369515323344,0.17939499797488861,0.250954052472886,0.14799412717699473,0.4838659376265695,0.07503645200486027,0.07237241798298907,0.09520484780509084,0.4725024590638199,0.4418444714459294,0.16410287565816117,0.3901408577471761,1.141364635769253,0.07746771072408981,0.38214985824220327,0.26451032806804375,0.18729191980558935,normal
C2P07H,0.05018581081081081,0.3235951576576577,0.11253378378378377,0.00793018018018018,0.020792511261261262,0.6231212462462462,0.3649239864864865,0.11797672672672672,0.026787537537537535,0.0011661661661661663,0.23889264264264265,1.4334151651651652,0.2210153903903904,2.0688153153153155,0.45693443443443443,0.0643581081081081,0.1851703265765766,0.24547380714047376,0.16212837837837837,0.5648905155155156,0.09062687687687687,0.06897053303303305,0.13604700854700857,0.469743135993136,0.3995442942942943,0.15076295045045043,0.2813304971638304,1.0588738738738739,0.05473348348348349,0.3350833333333333,0.2845983483483484,0.20743243243243242,normal
C2P09,0.1046047174701918,0.24130054432348366,0.31475505443234836,0.045962674961119755,0.026125583203732504,0.4169926127527216,0.2285925349922239,0.1597265422498704,0.06567807153965785,0.0,0.311195567651633,1.4346702954898913,0.2890863141524106,2.0964541213063765,0.4726023846552618,0.06362104717470192,0.18398036547433905,0.34514515292897874,0.17961605754276827,0.996831259720062,0.21357179885951272,0.13774105754276827,0.17315169278621845,0.36826927349477895,0.27434681181959564,0.21280132192846032,0.7998617591152583,1.080981448566985,0.03749783998617591,0.23355054432348368,0.33849611197511664,0.23151341368584757,normal
C2P10,0.11053996101364522,0.34263742690058474,0.11229824561403509,0.012783625730994152,0.023497076023391815,0.7230073099415204,0.1555365497076023,0.15028752436647175,0.034335672514619886,0.0013430799220272903,0.22755701754385962,1.4044140350877192,0.30175584795321636,1.763130994152047,0.2968343079922026,0.07296686159844055,0.1809444444444444,0.2271598440545809,0.2473296783625731,0.6240730994152046,0.15959649122807015,0.06959356725146199,0.1120953666216824,0.5835538847117794,0.5962818713450293,0.18998245614035086,0.3535354126055881,1.0016608187134504,0.06245224171539961,0.3614432748538012,0.2836491228070176,0.19544809941520466,normal
C2P10H,0.01964337305886602,0.25058234019501624,0.060273564463705305,0.0030785482123510286,0.02595239707475623,0.6788434452871072,0.14552749187432287,0.1156708197905381,0.015367551462621887,0.00012549656915854097,0.20286904117009752,1.4288120260021668,0.2136897345612134,2.1923791982665217,0.20552997472011555,0.06140032502708559,0.16001963705308775,0.24976917057902975,0.09832272481040087,0.36747336583604184,0.13510337667027808,0.05792321235102925,0.0700260438369864,0.4644505494505494,0.4396895991332611,0.14491671180931742,0.1834820031298905,1.0635319609967495,0.08125827615264235,0.45943824485373774,0.23873510292524375,0.15665425243770315,normal
C2P11,0.08234620480787432,0.16717064168086315,0.21618540601930722,0.012703009653605907,0.018866411130039756,0.27913685406019306,0.22787904599659284,0.16829736891917468,0.06318568994889266,0.0007628241529434033,0.29876064735945485,1.5434980124929019,0.2220130607609313,2.0555684270300967,0.356074200265001,0.06331629755820557,0.19402967064168086,0.2667903337750016,0.14876313174332767,0.6264915767556313,0.07967442740866931,0.12474588302101078,0.15203599353514174,0.29397014683215705,0.19189437819420782,0.24352214650766607,0.729733106189665,1.1419603309807738,0.03972048709697772,0.15987052810902896,0.36521067575241345,0.24438671209540033,normal
